id,season,week,season_type,start_date,start_time_tbd,neutral_site,conference_game,attendance,venue_id,venue,home_id,home_team,home_conference,home_points,home_line_scores[0],home_line_scores[1],home_line_scores[2],home_line_scores[3],home_post_win_prob,away_id,away_team,away_conference,away_points,away_line_scores[0],away_line_scores[1],away_line_scores[2],away_line_scores[3],away_post_win_prob,excitement_index,highlights,notes
401282609,2021,1,regular,2021-09-04T16:00:00.000Z,False,False,False,,3615,Alumni Stadium,103,Boston College,ACC,51.0,7.0,20.0,3.0,21.0,0.9989204847197184,2142,Colgate,,0.0,0.0,0.0,0.0,0.0,0.0010795152802816,1.0793145235,,
401282815,2021,1,regular,2021-09-04T16:00:00.000Z,False,False,True,,347,Camp Randall Stadium,275,Wisconsin,Big Ten,10.0,0.0,0.0,7.0,3.0,0.8779559077538986,213,Penn State,Big Ten,16.0,0.0,0.0,7.0,9.0,0.1220440922461013,8.5895786583,,
401286188,2021,1,regular,2021-09-04T16:00:00.000Z,False,False,False,,3892,Rentschler Field,41,Connecticut,American Athletic,28.0,14.0,7.0,7.0,0.0,0.1224111691394373,107,Holy Cross,,38.0,7.0,17.0,7.0,7.0,0.8775888308605627,6.3918003588,,
401282772,2021,1,regular,2021-09-04T16:00:00.000Z,False,False,False,,3558,Michigan Stadium,130,Michigan,Big Ten,47.0,10.0,17.0,6.0,14.0,0.9986865417930266,2711,Western Michigan,Mid-American,14.0,7.0,0.0,0.0,7.0,0.0013134582069733,2.3235980123,,
401281947,2021,1,regular,2021-09-04T16:00:00.000Z,False,False,False,,3683,Commonwealth Stadium,96,Kentucky,SEC,45.0,14.0,14.0,3.0,14.0,0.9989170823328328,2433,Louisiana Monroe,Sun Belt,10.0,7.0,0.0,0.0,3.0,0.001082917667167,1.5105827841,,
401287894,2021,1,regular,2021-09-04T16:00:00.000Z,False,False,False,,3835,Gaylord Family Oklahoma Memorial Stadium,2655,Tulane,American Athletic,35.0,14.0,0.0,8.0,13.0,0.4589459409843905,201,Oklahoma,Big 12,40.0,14.0,23.0,3.0,0.0,0.5410540590156094,4.7868758401,,
401281943,2021,1,regular,2021-09-04T18:00:00.000Z,False,False,False,,3887,Donald W. Reynolds Razorback Stadium Frank Broyles Field,8,Arkansas,SEC,38.0,7.0,0.0,10.0,21.0,,242,Rice,Conference USA,17.0,0.0,10.0,7.0,0.0,,,,
401310861,2021,1,regular,2021-09-04T18:00:00.000Z,False,False,False,,3713,Falcon Stadium,2005,Air Force,Mountain West,35.0,14.0,14.0,0.0,7.0,,322,Lafayette,,14.0,0.0,7.0,7.0,0.0,,,,
401309838,2021,1,regular,2021-09-04T18:00:00.000Z,False,False,False,,3626,Autzen Stadium,2483,Oregon,Pac-12,31.0,14.0,7.0,0.0,10.0,0.6554397056353632,278,Fresno State,Mountain West,24.0,0.0,13.0,8.0,3.0,0.3445602943646367,6.5531555447,,
401282174,2021,1,regular,2021-09-04T19:30:00.000Z,False,False,False,,3852,Navy-Marine Corps Memorial Stadium,2426,Navy,American Athletic,7.0,0.0,0.0,0.0,7.0,0.0015932988484657,276,Marshall,Conference USA,49.0,14.0,7.0,7.0,21.0,0.9984067011515342,2.1046809431,,
401300996,2021,1,regular,2021-09-04T19:30:00.000Z,False,False,False,,3854,Nippert Stadium,2132,Cincinnati,American Athletic,49.0,21.0,14.0,0.0,14.0,0.9989680828534764,193,Miami (OH),Mid-American,14.0,0.0,0.0,0.0,14.0,0.0010319171465237,1.2835892447,,
401282764,2021,1,regular,2021-09-04T19:30:00.000Z,False,False,False,,3665,Maryland Stadium,120,Maryland,Big Ten,30.0,17.0,3.0,0.0,10.0,0.9638046624178064,277,West Virginia,Big 12,24.0,14.0,7.0,0.0,3.0,0.0361953375821937,6.2921573821,,
401282723,2021,1,regular,2021-09-04T19:30:00.000Z,False,False,True,,3793,Kinnick Stadium,2294,Iowa,Big Ten,34.0,14.0,17.0,0.0,3.0,0.996521204375249,84,Indiana,Big Ten,6.0,3.0,0.0,3.0,0.0,0.0034787956247509,2.2651769074,,
401281942,2021,1,regular,2021-09-04T19:30:00.000Z,False,True,False,,5348,Mercedes-Benz Stadium,2390,Miami,ACC,13.0,0.0,3.0,10.0,0.0,0.011769622495226,333,Alabama,SEC,44.0,10.0,17.0,14.0,3.0,0.988230377504774,0.7927885144,,
401310697,2021,1,regular,2021-09-04T20:00:00.000Z,False,False,False,,3984,War Memorial Stadium,2751,Wyoming,Mountain West,19.0,0.0,3.0,0.0,16.0,0.9891546913521992,147,Montana State,,16.0,7.0,0.0,0.0,9.0,0.0108453086478007,11.2612057931,,
401281950,2021,1,regular,2021-09-04T20:00:00.000Z,False,False,False,,3838,Faurot Field,142,Missouri,SEC,34.0,7.0,10.0,7.0,10.0,0.5923467499685763,2117,Central Michigan,Mid-American,24.0,7.0,7.0,0.0,10.0,0.4076532500314237,6.5725788091,,
401282612,2021,1,regular,2021-09-04T20:00:00.000Z,False,False,False,,3752,Heinz Field,221,Pittsburgh,ACC,51.0,13.0,10.0,14.0,14.0,0.99884861645108,113,UMass,FBS Independents,7.0,0.0,0.0,0.0,7.0,0.00115138354892,1.1508209908,,
